Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
226,22.931,23.322,-4.4413126821388687e+18,0.0652822119348285,0.043168316972358296,over range,,
227,22.988,23.16,-1.9537797799347336e+18,0.06578253720917432,0.043947520339195766,over range,,
228,23.055,23.013,4.77098315858425e+17,0.06787181180991027,0.044711881737141086,over range,,
229,23.021,23.074,-6.02046058356746e+17,0.06897880938050055,0.045461401166194265,over range,,
230,23.04,23.019,2.3854890146215946e+17,0.07035919760114959,0.04615155271967888,over range,,
231,22.964,23.124,-1.8174812681931277e+18,0.07053848551495369,0.04684912525760956,over range,,
232,23.031,23.074,-4.884524624404032e+17,0.07246198622971536,0.04767285453112345,over range,,
233,22.96,23.158,-2.249119388455202e+18,0.07300406557360112,0.04834074313126985,over range,,
234,23.011,23.14,-1.4653400774903754e+18,0.07391207899203851,0.04903831566920053,over range,,
235,22.933,23.252,-3.623520348188807e+18,0.07552836245330374,0.049698783284900856,over range,,
236,23.054,23.119,-7.383524258399465e+17,0.07653730636573407,0.05031472499392475,over range,,
237,23.021,23.076,-6.247645538078817e+17,0.07705382451437633,0.051004876547409365,over range,,
238,22.993,23.206,-2.4194864542693555e+18,0.07812574007251402,0.051613397271987195,over range,,
239,22.98,23.246,-3.0214966954674186e+18,0.07980514694705526,0.05225160193434931,over range,,
240,22.881,23.027,-1.6584804615391383e+18,0.08073902242964813,0.05273396592334393,over range,,
241,23.072,23.138,-7.497091451159776e+17,0.08166897882451528,0.05329053975679926,over range,,
242,23.041,23.025,1.8175134858258678e+17,0.0820708033693775,0.05395100737249959,over range,,
243,22.984,23.038,-6.13409372859402e+17,0.08297083929172167,0.054515002190400993,over range,,
244,23.027,23.101,-8.405885466371831e+17,0.08464661860698386,0.05514578586831703,over range,,
245,22.939,23.246,-3.4872161109342085e+18,0.08510949492630968,0.055761727577340936,over range,,
246,22.904,23.223,-3.6235391252676567e+18,0.08548161775666983,0.0561550397529827,over range,,
247,22.988,23.168,-2.0446503325230044e+18,0.08643476944557678,0.05674129752422232,over range,,
248,23.035,23.296,-2.9646751680263286e+18,0.08781259993829155,0.057260766435447294,over range,,
249,22.859,23.066,-2.351390803868057e+18,0.08838914135054235,0.05768376254887335,over range,,
250,22.958,23.078,-1.36312217472316e+18,0.08892096235028872,0.05822549441343654,over range,,
